mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Incl per mm^2
IM330,"c(1015, 919, 211, 935, 927)",0.1,left,ACAd,"c(""ACAd5"", ""ACAd6a"", ""ACAd2/3"", ""ACAd1"", ""ACAd6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(1015, 919, 211, 935, 927)",0.1,left,ACAd,"c(""ACAd5"", ""ACAd6a"", ""ACAd2/3"", ""ACAd1"", ""ACAd6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(935, 211, 927, 1015, 919)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd6b"", ""ACAd5"", ""ACAd6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(935, 211, 1015, 919, 927)",0.1,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(588, 296, 810, 819, 772)",0.1,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv6a"", ""ACAv6b"", ""ACAv5"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(810, 588, 772, 819, 296)",0.1,left,ACAv,"c(""ACAv6a"", ""ACAv1"", ""ACAv5"", ""ACAv6b"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(296, 810, 819, 772, 588)",0.1,left,ACAv,"c(""ACAv2/3"", ""ACAv6a"", ""ACAv6b"", ""ACAv5"", ""ACAv1"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(819, 810, 772, 588, 296)",0.1,left,ACAv,"c(""ACAv6b"", ""ACAv6a"", ""ACAv5"", ""ACAv1"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,56,0.1,left,ACB,ACB,WT,mPFF,M,pSyn,0,0,0,0
IM333,56,0.1,left,ACB,ACB,WT,mPFF,F,pSyn,0,0,0,0
IM337,56,0.1,left,ACB,ACB,WT,mPFF,M,pSyn,0,0,0,0
IM340,56,0.1,left,ACB,ACB,WT,mPFF,F,pSyn,0,0,0,0
IM330,88,0.1,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM333,88,0.1,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM340,88,0.1,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(783, 1101, 328, 996, 831)",0.1,left,AId,"c(""AId6a"", ""AId5"", ""AId2/3"", ""AId1"", ""AId6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(783, 328, 1101, 996, 831)",0.1,left,AId,"c(""AId6a"", ""AId2/3"", ""AId5"", ""AId1"", ""AId6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(1101, 328, 783, 996, 831)",0.1,left,AId,"c(""AId5"", ""AId2/3"", ""AId6a"", ""AId1"", ""AId6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(328, 996, 1101, 783, 831)",0.1,left,AId,"c(""AId2/3"", ""AId1"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,4.70E-05,0,4.70E-05,0
IM330,"c(163, 314, 355, 344, 120)",0.1,left,AIp,"c(""AIp2/3"", ""AIp6a"", ""AIp6b"", ""AIp5"", ""AIp1"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(120, 314, 163, 344, 355)",0.1,left,AIp,"c(""AIp1"", ""AIp6a"", ""AIp2/3"", ""AIp5"", ""AIp6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(163, 314, 355, 120, 344)",0.1,left,AIp,"c(""AIp2/3"", ""AIp6a"", ""AIp6b"", ""AIp1"", ""AIp5"")",WT,mPFF,M,pSyn,0.000505939,0,0.000505939,0
IM340,"c(314, 120, 163, 344, 355)",0.1,left,AIp,"c(""AIp6a"", ""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(704, 800, 694, 675)",0.1,left,AIv,"c(""AIv1"", ""AIv5"", ""AIv2/3"", ""AIv6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(694, 704, 675, 800)",0.1,left,AIv,"c(""AIv2/3"", ""AIv1"", ""AIv6a"", ""AIv5"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(694, 800, 704, 675)",0.1,left,AIv,"c(""AIv2/3"", ""AIv5"", ""AIv1"", ""AIv6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(675, 694, 800, 704)",0.1,left,AIv,"c(""AIv6a"", ""AIv2/3"", ""AIv5"", ""AIv1"")",WT,mPFF,F,pSyn,0.000469777,0,0.000469777,0
IM330,466,0.1,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM333,466,0.1,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM337,466,0.1,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM340,466,0.1,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM330,884,0.1,left,amc,amc,WT,mPFF,M,pSyn,0,0,0,0
IM333,884,0.1,left,amc,amc,WT,mPFF,F,pSyn,0,0,0,0
IM337,884,0.1,left,amc,amc,WT,mPFF,M,pSyn,0,0,0,0
IM340,884,0.1,left,amc,amc,WT,mPFF,F,pSyn,0,0,0,0
IM330,159,0.1,left,AON,AON,WT,mPFF,M,pSyn,0,0,0,0
IM333,159,0.1,left,AON,AON,WT,mPFF,F,pSyn,0,0,0,0
IM337,159,0.1,left,AON,AON,WT,mPFF,M,pSyn,0,0,0,0
IM340,159,0.1,left,AON,AON,WT,mPFF,F,pSyn,0,0,0,0
IM333,215,0.1,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM337,215,0.1,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM340,215,0.1,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM330,484682508,0.1,left,APr,APr,WT,mPFF,M,pSyn,7.88E-05,0,7.88E-05,0
IM333,484682508,0.1,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM337,484682508,0.1,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM340,484682508,0.1,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM330,484682524,0.1,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM333,484682524,0.1,left,ar,ar,WT,mPFF,F,pSyn,0,0,0,0
IM337,484682524,0.1,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM340,484682524,0.1,left,ar,ar,WT,mPFF,F,pSyn,0,0,0,0
IM330,223,0.1,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM333,223,0.1,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM337,223,0.1,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM340,223,0.1,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM330,231,0.1,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM333,231,0.1,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM337,231,0.1,left,AT,AT,WT,mPFF,M,pSyn,0,0,0,0
IM340,231,0.1,left,AT,AT,WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(527, 252, 678, 243, 156, 600)",0.1,left,AUDd,"c(""AUDd1"", ""AUDd5"", ""AUDd4"", ""AUDd6b"", ""AUDd6a"", ""AUDd2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(156, 252, 243, 527, 600, 678)",0.1,left,AUDd,"c(""AUDd6a"", ""AUDd5"", ""AUDd6b"", ""AUDd1"", ""AUDd2/3"", ""AUDd4"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(156, 243, 600, 252, 527, 678)",0.1,left,AUDd,"c(""AUDd6a"", ""AUDd6b"", ""AUDd2/3"", ""AUDd5"", ""AUDd1"", ""AUDd4"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(678, 600, 243, 252, 156, 527)",0.1,left,AUDd,"c(""AUDd4"", ""AUDd2/3"", ""AUDd6b"", ""AUDd5"", ""AUDd6a"", ""AUDd1"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,735,0.1,left,AUDp,AUDp1,WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(735, 816, 954, 251, 847, 1005)",0.1,left,AUDp,"c(""AUDp1"", ""AUDp4"", ""AUDp6a"", ""AUDp2/3"", ""AUDp5"", ""AUDp6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(954, 847, 816, 735, 1005, 251)",0.1,left,AUDp,"c(""AUDp6a"", ""AUDp5"", ""AUDp4"", ""AUDp1"", ""AUDp6b"", ""AUDp2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM340,"c(1005, 816, 251, 847, 954, 735)",0.1,left,AUDp,"c(""AUDp6b"", ""AUDp4"", ""AUDp2/3"", ""AUDp5"", ""AUDp6a"", ""AUDp1"")",WT,mPFF,F,pSyn,5.23E-05,0,5.23E-05,0
IM333,"c(791, 643, 696, 249, 759, 456)",0.1,left,AUDpo,"c(""AUDpo5"", ""AUDpo2/3"", ""AUDpo1"", ""AUDpo6a"", ""AUDpo4"", ""AUDpo6b"")",WT,mPFF,F,pSyn,0,0,0,0
IM337,"c(759, 456, 791, 643, 249, 696)",0.1,left,AUDpo,"c(""AUDpo4"", ""AUDpo6b"", ""AUDpo5"", ""AUDpo2/3"", ""AUDpo6a"", ""AUDpo1"")",WT,mPFF,M,pSyn,0.000160453,0,0.000160453,0
IM340,"c(759, 643, 249, 696, 456, 791)",0.1,left,AUDpo,"c(""AUDpo4"", ""AUDpo2/3"", ""AUDpo6a"", ""AUDpo1"", ""AUDpo6b"", ""AUDpo5"")",WT,mPFF,F,pSyn,0,0,0,0
IM330,"c(990, 598, 959, 1023, 755, 520)",0.1,left,AUDv,"c(""AUDv4"", ""AUDv6b"", ""AUDv1"", ""AUDv5"", ""AUDv2/3"", ""AUDv6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM333,"c(1023, 598, 520, 755, 959, 990)",0.1,left,AUDv,"c(""AUDv5"", ""AUDv6b"", ""AUDv6a"", ""AUDv2/3"", ""AUDv1"", ""AUDv4"")",WT,mPFF,F,pSyn,0,0,0,0
