mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite % Area,Inclusion per mm^2
IM 331,"c(935, 211, 927, 1015, 919)",0.2,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd6b"", ""ACAd5"", ""ACAd6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(1015, 211, 927, 935, 919)",0.2,left,ACAd,"c(""ACAd5"", ""ACAd2/3"", ""ACAd6b"", ""ACAd1"", ""ACAd6a"")",WT,mPFF,F,pSyn,0.001397522,0,0.001397522,0
IM 338,"c(211, 919, 935, 1015, 927)",0.2,left,ACAd,"c(""ACAd2/3"", ""ACAd6a"", ""ACAd1"", ""ACAd5"", ""ACAd6b"")",WT,mPFF,M,pSyn,0.001194077,0,0.001194077,0
IM 341,"c(919, 1015, 935, 211, 927)",0.2,left,ACAd,"c(""ACAd6a"", ""ACAd5"", ""ACAd1"", ""ACAd2/3"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.000755286,0,0.000755286,0
IM 331,"c(588, 772, 819, 296, 810)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv5"", ""ACAv6b"", ""ACAv2/3"", ""ACAv6a"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(588, 810, 772, 819, 296)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv6a"", ""ACAv5"", ""ACAv6b"", ""ACAv2/3"")",WT,mPFF,F,pSyn,4.33E-05,0,4.33E-05,0
IM 338,"c(588, 819, 772, 296, 810)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv6b"", ""ACAv5"", ""ACAv2/3"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.000349746,0,0.000349746,0
IM 341,"c(296, 772, 819, 588, 810)",0.2,left,ACAv,"c(""ACAv2/3"", ""ACAv5"", ""ACAv6b"", ""ACAv1"", ""ACAv6a"")",WT,mPFF,F,pSyn,8.99E-05,0,8.99E-05,0
IM 331,56,0.2,left,ACB,ACB,WT,mPFF,M,pSyn,3.25E-05,0,3.25E-05,0
IM 334,56,0.2,left,ACB,ACB,WT,mPFF,F,pSyn,0.000209587,0,0.000209587,0
IM 338,56,0.2,left,ACB,ACB,WT,mPFF,M,pSyn,3.35E-05,0,3.35E-05,0
IM 341,56,0.2,left,ACB,ACB,WT,mPFF,F,pSyn,0.000505864,0,0.000505864,0
IM 334,88,0.2,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 338,88,0.2,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 341,88,0.2,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 331,"c(1101, 328, 996, 783, 831)",0.2,left,AId,"c(""AId5"", ""AId2/3"", ""AId1"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,5.57E-05,0,5.57E-05,0
IM 334,"c(1101, 328, 996, 783, 831)",0.2,left,AId,"c(""AId5"", ""AId2/3"", ""AId1"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.000612323,0,0.000612323,0
IM 338,"c(783, 328, 996, 1101, 831)",0.2,left,AId,"c(""AId6a"", ""AId2/3"", ""AId1"", ""AId5"", ""AId6b"")",WT,mPFF,M,pSyn,0.000491117,0,0.000491117,0
IM 341,"c(1101, 996, 328, 783, 831)",0.2,left,AId,"c(""AId5"", ""AId1"", ""AId2/3"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.001788599,0,0.001788599,0
IM 331,"c(344, 163, 314, 120, 355)",0.2,left,AIp,"c(""AIp5"", ""AIp2/3"", ""AIp6a"", ""AIp1"", ""AIp6b"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(120, 355, 344, 163, 314)",0.2,left,AIp,"c(""AIp1"", ""AIp6b"", ""AIp5"", ""AIp2/3"", ""AIp6a"")",WT,mPFF,F,pSyn,0.001144298,0,0.001144298,0
IM 338,"c(120, 163, 314, 344, 355)",0.2,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp6a"", ""AIp5"", ""AIp6b"")",WT,mPFF,M,pSyn,9.99E-05,0,9.99E-05,0
IM 341,"c(355, 314, 120, 344, 163)",0.2,left,AIp,"c(""AIp6b"", ""AIp6a"", ""AIp1"", ""AIp5"", ""AIp2/3"")",WT,mPFF,F,pSyn,0.000813877,0,0.000813877,0
IM 331,"c(694, 800, 675, 704)",0.2,left,AIv,"c(""AIv2/3"", ""AIv5"", ""AIv6a"", ""AIv1"")",WT,mPFF,M,pSyn,0,0,0,0
IM 334,"c(675, 694, 800, 704)",0.2,left,AIv,"c(""AIv6a"", ""AIv2/3"", ""AIv5"", ""AIv1"")",WT,mPFF,F,pSyn,0,0,0,0
IM 338,"c(704, 675, 800, 694)",0.2,left,AIv,"c(""AIv1"", ""AIv6a"", ""AIv5"", ""AIv2/3"")",WT,mPFF,M,pSyn,0.000659241,0,0.000659241,0
IM 341,"c(704, 694, 800, 675)",0.2,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,0.000112507,0,0.000112507,0
IM 331,466,0.2,left,alv,alv,WT,mPFF,M,pSyn,0,0,0,0
IM 334,466,0.2,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM 338,466,0.2,left,alv,alv,WT,mPFF,M,pSyn,0.000571448,0,0.000571448,0
IM 341,466,0.2,left,alv,alv,WT,mPFF,F,pSyn,0,0,0,0
IM 331,884,0.2,left,amc,amc,WT,mPFF,M,pSyn,0.000364402,0,0.000364402,0
IM 334,884,0.2,left,amc,amc,WT,mPFF,F,pSyn,0.000286288,0,0.000286288,0
IM 338,884,0.2,left,amc,amc,WT,mPFF,M,pSyn,0.003408089,0,0.003408089,0
IM 341,884,0.2,left,amc,amc,WT,mPFF,F,pSyn,0.002311653,0,0.002311653,0
IM 331,159,0.2,left,AON,AON,WT,mPFF,M,pSyn,0,0,0,0
IM 334,159,0.2,left,AON,AON,WT,mPFF,F,pSyn,8.12E-05,0,8.12E-05,0
IM 338,159,0.2,left,AON,AON,WT,mPFF,M,pSyn,0,0,0,0
IM 341,159,0.2,left,AON,AON,WT,mPFF,F,pSyn,1.90E-05,0,1.90E-05,0
IM 331,215,0.2,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 334,215,0.2,left,APN,APN,WT,mPFF,F,pSyn,0,0,0,0
IM 338,215,0.2,left,APN,APN,WT,mPFF,M,pSyn,0,0,0,0
IM 331,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 334,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 338,484682508,0.2,left,APr,APr,WT,mPFF,M,pSyn,0,0,0,0
IM 341,484682508,0.2,left,APr,APr,WT,mPFF,F,pSyn,0,0,0,0
IM 331,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM 334,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,0,0,0,0
IM 338,484682524,0.2,left,ar,ar,WT,mPFF,M,pSyn,0,0,0,0
IM 341,484682524,0.2,left,ar,ar,WT,mPFF,F,pSyn,0.000339433,0,0.000339433,0
IM 331,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
IM 334,223,0.2,left,ARH,ARH,WT,mPFF,F,pSyn,0,0,0,0
IM 338,223,0.2,left,ARH,ARH,WT,mPFF,M,pSyn,0,0,0,0
