mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total % Area,Inclusion % Area,Neurite Area,Inclusion per mm^2
IM 89,"c(919, 211, 935, 927, 1015)",1,left,ACAd,"c(""ACAd6a"", ""ACAd2/3"", ""ACAd1"", ""ACAd6b"", ""ACAd5"")",WT,mPFF,F,pSyn,0.017796594,0.001238942,0.016557651,0.806906526
IM 90,"c(211, 919, 1015, 935, 927)",1,left,ACAd,"c(""ACAd2/3"", ""ACAd6a"", ""ACAd5"", ""ACAd1"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.029571823,0.009638434,0.019933389,3.996950879
IM 91,"c(927, 1015, 919, 935, 211)",1,left,ACAd,"c(""ACAd6b"", ""ACAd5"", ""ACAd6a"", ""ACAd1"", ""ACAd2/3"")",WT,mPFF,F,pSyn,0.025901455,0.00572217,0.020179285,1.757783034
IM 92,"c(919, 927, 1015, 935, 211)",1,left,ACAd,"c(""ACAd6a"", ""ACAd6b"", ""ACAd5"", ""ACAd1"", ""ACAd2/3"")",WT,mPFF,F,pSyn,0.012637928,0.004147303,0.008490625,0.866765352
IM 93,"c(935, 927, 919, 1015, 211)",1,left,ACAd,"c(""ACAd1"", ""ACAd6b"", ""ACAd6a"", ""ACAd5"", ""ACAd2/3"")",WT,mPFF,M,pSyn,0.020860931,0.003908371,0.01695256,0.820913865
IM 94,"c(927, 935, 1015, 919, 211)",1,left,ACAd,"c(""ACAd6b"", ""ACAd1"", ""ACAd5"", ""ACAd6a"", ""ACAd2/3"")",WT,mPFF,M,pSyn,0.020486365,0.002949194,0.017537171,0.884926366
IM 95,"c(935, 919, 927, 211, 1015)",1,left,ACAd,"c(""ACAd1"", ""ACAd6a"", ""ACAd6b"", ""ACAd2/3"", ""ACAd5"")",WT,mPFF,M,pSyn,0.032579599,0.021112861,0.011466738,5.367071956
IM 96,"c(1015, 919, 935, 211, 927)",1,left,ACAd,"c(""ACAd5"", ""ACAd6a"", ""ACAd1"", ""ACAd2/3"", ""ACAd6b"")",WT,mPFF,M,pSyn,0.00870467,0.003576671,0.005127998,0.905112889
IM 89,"c(296, 810, 772, 819, 588)",1,left,ACAv,"c(""ACAv2/3"", ""ACAv6a"", ""ACAv5"", ""ACAv6b"", ""ACAv1"")",WT,mPFF,F,pSyn,0.009086099,0.000618703,0.008467395,1.48516977
IM 90,"c(772, 588, 296, 819, 810)",1,left,ACAv,"c(""ACAv5"", ""ACAv1"", ""ACAv2/3"", ""ACAv6b"", ""ACAv6a"")",WT,mPFF,F,pSyn,0.008807316,0.002698538,0.006108778,1.245715679
IM 91,"c(772, 296, 588, 810, 819)",1,left,ACAv,"c(""ACAv5"", ""ACAv2/3"", ""ACAv1"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,0.001029556,0,0.001029556,0
IM 92,"c(772, 810, 588, 819, 296)",1,left,ACAv,"c(""ACAv5"", ""ACAv6a"", ""ACAv1"", ""ACAv6b"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0.000155662,0,0.000155662,0
IM 93,"c(810, 296, 819, 772, 588)",1,left,ACAv,"c(""ACAv6a"", ""ACAv2/3"", ""ACAv6b"", ""ACAv5"", ""ACAv1"")",WT,mPFF,M,pSyn,0.001507491,0,0.001507491,0
IM 94,"c(772, 296, 819, 588, 810)",1,left,ACAv,"c(""ACAv5"", ""ACAv2/3"", ""ACAv6b"", ""ACAv1"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.000573383,0,0.000573383,0
IM 95,"c(819, 588, 296, 772, 810)",1,left,ACAv,"c(""ACAv6b"", ""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.00370312,0,0.00370312,0
IM 96,"c(819, 772, 810, 588, 296)",1,left,ACAv,"c(""ACAv6b"", ""ACAv5"", ""ACAv6a"", ""ACAv1"", ""ACAv2/3"")",WT,mPFF,M,pSyn,0.00010521,0,0.00010521,0
IM 89,56,1,left,ACB,ACB,WT,mPFF,F,pSyn,0.003299533,0,0.003299533,0
IM 90,56,1,left,ACB,ACB,WT,mPFF,F,pSyn,0.0020744,0,0.0020744,0
IM 91,56,1,left,ACB,ACB,WT,mPFF,F,pSyn,0.00080503,0,0.00080503,0
IM 92,56,1,left,ACB,ACB,WT,mPFF,F,pSyn,0.00060319,0,0.00060319,0
IM 93,56,1,left,ACB,ACB,WT,mPFF,M,pSyn,0.003218594,0,0.003218594,0
IM 94,56,1,left,ACB,ACB,WT,mPFF,M,pSyn,0.000632192,0,0.000632192,0
IM 95,56,1,left,ACB,ACB,WT,mPFF,M,pSyn,0.001268865,0,0.001268865,0
IM 96,56,1,left,ACB,ACB,WT,mPFF,M,pSyn,0.000803598,0,0.000803598,0
IM 89,88,1,left,AHN,AHN,WT,mPFF,F,pSyn,0.022818489,0,0.022818489,0
IM 90,88,1,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 91,88,1,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 92,88,1,left,AHN,AHN,WT,mPFF,F,pSyn,0,0,0,0
IM 93,88,1,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 95,88,1,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 96,88,1,left,AHN,AHN,WT,mPFF,M,pSyn,0,0,0,0
IM 89,"c(996, 1101, 328, 783, 831)",1,left,AId,"c(""AId1"", ""AId5"", ""AId2/3"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.013915985,0.002758347,0.011157638,0.52194864
IM 90,"c(996, 328, 1101, 783, 831)",1,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.009724423,0.002464227,0.007260196,1.113088235
IM 91,"c(1101, 831, 328, 783, 996)",1,left,AId,"c(""AId5"", ""AId6b"", ""AId2/3"", ""AId6a"", ""AId1"")",WT,mPFF,F,pSyn,0.024893015,0.005666508,0.019226507,2.663368672
IM 92,"c(328, 831, 1101, 996, 783)",1,left,AId,"c(""AId2/3"", ""AId6b"", ""AId5"", ""AId1"", ""AId6a"")",WT,mPFF,F,pSyn,0.027242613,0.014018112,0.013224501,2.950263189
IM 93,"c(1101, 783, 328, 996, 831)",1,left,AId,"c(""AId5"", ""AId6a"", ""AId2/3"", ""AId1"", ""AId6b"")",WT,mPFF,M,pSyn,0.018436036,0.003745967,0.014690069,0.561000026
IM 94,"c(328, 996, 831, 1101, 783)",1,left,AId,"c(""AId2/3"", ""AId1"", ""AId6b"", ""AId5"", ""AId6a"")",WT,mPFF,M,pSyn,0.012946366,0.000685396,0.01226097,0.581658384
IM 95,"c(783, 1101, 328, 831, 996)",1,left,AId,"c(""AId6a"", ""AId5"", ""AId2/3"", ""AId6b"", ""AId1"")",WT,mPFF,M,pSyn,0.009777234,0.00326183,0.006515404,0.693786866
IM 96,"c(996, 1101, 783, 328, 831)",1,left,AId,"c(""AId1"", ""AId5"", ""AId6a"", ""AId2/3"", ""AId6b"")",WT,mPFF,M,pSyn,0.006601085,0.004155967,0.002445118,1.233807666
IM 89,"c(163, 355, 314, 344, 120)",1,left,AIp,"c(""AIp2/3"", ""AIp6b"", ""AIp6a"", ""AIp5"", ""AIp1"")",WT,mPFF,F,pSyn,0.013783498,0.00673762,0.007045878,1.233262854
IM 90,"c(120, 314, 163, 355, 344)",1,left,AIp,"c(""AIp1"", ""AIp6a"", ""AIp2/3"", ""AIp6b"", ""AIp5"")",WT,mPFF,F,pSyn,0.023773297,0.006368685,0.017404612,1.311449087
IM 91,"c(120, 355, 314, 163, 344)",1,left,AIp,"c(""AIp1"", ""AIp6b"", ""AIp6a"", ""AIp2/3"", ""AIp5"")",WT,mPFF,F,pSyn,0.016390274,0,0.016390274,0
IM 92,"c(344, 120, 355, 163, 314)",1,left,AIp,"c(""AIp5"", ""AIp1"", ""AIp6b"", ""AIp2/3"", ""AIp6a"")",WT,mPFF,F,pSyn,0.030279207,0.008535721,0.021743486,2.302204895
IM 93,"c(163, 344, 120, 314, 355)",1,left,AIp,"c(""AIp2/3"", ""AIp5"", ""AIp1"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,0.020369657,0.007209338,0.01316032,2.202543569
IM 94,"c(163, 344, 120, 314, 355)",1,left,AIp,"c(""AIp2/3"", ""AIp5"", ""AIp1"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,0.023449457,0.003519764,0.019929692,1.314295057
