mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,Total Pathology % Area ,Inclusion Pathology % Area,Neurite Pathology % Area,Inclusion Count per mm^2 (log10)
IM 133,"c(919, 211, 927, 1015, 935)",0.5,left,ACAd,"c(""ACAd6a"", ""ACAd2/3"", ""ACAd6b"", ""ACAd5"", ""ACAd1"")",WT,mPFF,F,pSyn,0.004794777,0,0.004794777,0
IM 134,"c(1015, 211, 919, 935, 927)",0.5,left,ACAd,"c(""ACAd5"", ""ACAd2/3"", ""ACAd6a"", ""ACAd1"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.007503484,0,0.007503484,0
IM 135,"c(919, 211, 935, 1015, 927)",0.5,left,ACAd,"c(""ACAd6a"", ""ACAd2/3"", ""ACAd1"", ""ACAd5"", ""ACAd6b"")",WT,mPFF,F,pSyn,0.002842852,0,0.002842852,0
IM 136,"c(1015, 919, 935, 927, 211)",0.5,left,ACAd,"c(""ACAd5"", ""ACAd6a"", ""ACAd1"", ""ACAd6b"", ""ACAd2/3"")",WT,mPFF,F,pSyn,0.004722003,0,0.004722003,0
IM 137,"c(927, 919, 211, 1015, 935)",0.5,left,ACAd,"c(""ACAd6b"", ""ACAd6a"", ""ACAd2/3"", ""ACAd5"", ""ACAd1"")",WT,mPFF,M,pSyn,0.011647371,0,0.011647371,0
IM 138,"c(211, 935, 927, 919, 1015)",0.5,left,ACAd,"c(""ACAd2/3"", ""ACAd1"", ""ACAd6b"", ""ACAd6a"", ""ACAd5"")",WT,mPFF,M,pSyn,0.010387038,0,0.010387038,0
IM 139,"c(919, 935, 1015, 927, 211)",0.5,left,ACAd,"c(""ACAd6a"", ""ACAd1"", ""ACAd5"", ""ACAd6b"", ""ACAd2/3"")",WT,mPFF,M,pSyn,0.015469153,0,0.015469153,0
IM 140,"c(1015, 927, 935, 919, 211)",0.5,left,ACAd,"c(""ACAd5"", ""ACAd6b"", ""ACAd1"", ""ACAd6a"", ""ACAd2/3"")",WT,mPFF,M,pSyn,0.005328114,0,0.005328114,0
IM 133,"c(588, 296, 819, 810, 772)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv6b"", ""ACAv6a"", ""ACAv5"")",WT,mPFF,F,pSyn,0.000520185,0,0.000520185,0
IM 134,"c(588, 810, 819, 772, 296)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv6a"", ""ACAv6b"", ""ACAv5"", ""ACAv2/3"")",WT,mPFF,F,pSyn,0.00063859,0,0.00063859,0
IM 135,"c(296, 819, 810, 772, 588)",0.5,left,ACAv,"c(""ACAv2/3"", ""ACAv6b"", ""ACAv6a"", ""ACAv5"", ""ACAv1"")",WT,mPFF,F,pSyn,0.000826328,0,0.000826328,0
IM 136,"c(588, 810, 296, 772, 819)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv6a"", ""ACAv2/3"", ""ACAv5"", ""ACAv6b"")",WT,mPFF,F,pSyn,0.004583835,0,0.004583835,0
IM 137,"c(296, 588, 772, 819, 810)",0.5,left,ACAv,"c(""ACAv2/3"", ""ACAv1"", ""ACAv5"", ""ACAv6b"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.009509778,0,0.009509778,0
IM 138,"c(588, 819, 810, 772, 296)",0.5,left,ACAv,"c(""ACAv1"", ""ACAv6b"", ""ACAv6a"", ""ACAv5"", ""ACAv2/3"")",WT,mPFF,M,pSyn,0,0,0,0
IM 139,"c(296, 819, 772, 588, 810)",0.5,left,ACAv,"c(""ACAv2/3"", ""ACAv6b"", ""ACAv5"", ""ACAv1"", ""ACAv6a"")",WT,mPFF,M,pSyn,0.003824013,0,0.003824013,0
IM 140,"c(296, 810, 588, 772, 819)",0.5,left,ACAv,"c(""ACAv2/3"", ""ACAv6a"", ""ACAv1"", ""ACAv5"", ""ACAv6b"")",WT,mPFF,M,pSyn,0.000400973,0,0.000400973,0
IM 133,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,0.004476209,0,0.004476209,0
IM 134,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,0.000888587,0,0.000888587,0
IM 135,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,0.001374478,0,0.001374478,0
IM 136,56,0.5,left,ACB,ACB,WT,mPFF,F,pSyn,0.002438975,0,0.002438975,0
IM 137,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,0.004971024,0,0.004971024,0
IM 138,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,0.003398591,0,0.003398591,0
IM 139,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,0.000915849,0,0.000915849,0
IM 140,56,0.5,left,ACB,ACB,WT,mPFF,M,pSyn,0.004977041,0,0.004977041,0
IM 133,"c(1101, 996, 328, 783, 831)",0.5,left,AId,"c(""AId5"", ""AId1"", ""AId2/3"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,0.01098369,0,0.01098369,0
IM 134,"c(328, 783, 831, 1101, 996)",0.5,left,AId,"c(""AId2/3"", ""AId6a"", ""AId6b"", ""AId5"", ""AId1"")",WT,mPFF,F,pSyn,0.005232297,0,0.005232297,0
IM 135,"c(328, 996, 783, 1101, 831)",0.5,left,AId,"c(""AId2/3"", ""AId1"", ""AId6a"", ""AId5"", ""AId6b"")",WT,mPFF,F,pSyn,0.004802083,0,0.004802083,0
IM 136,"c(831, 996, 783, 328, 1101)",0.5,left,AId,"c(""AId6b"", ""AId1"", ""AId6a"", ""AId2/3"", ""AId5"")",WT,mPFF,F,pSyn,0.013619999,0,0.013619999,0
IM 137,"c(783, 996, 1101, 328, 831)",0.5,left,AId,"c(""AId6a"", ""AId1"", ""AId5"", ""AId2/3"", ""AId6b"")",WT,mPFF,M,pSyn,0.014212121,0.003350598,0.010861524,1.172932183
IM 138,"c(996, 831, 1101, 783, 328)",0.5,left,AId,"c(""AId1"", ""AId6b"", ""AId5"", ""AId6a"", ""AId2/3"")",WT,mPFF,M,pSyn,0.049868339,0.009506108,0.04036223,1.18320718
IM 139,"c(831, 328, 1101, 783, 996)",0.5,left,AId,"c(""AId6b"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId1"")",WT,mPFF,M,pSyn,0.017888187,0.002453236,0.01543495,1.226851271
IM 140,"c(831, 328, 996, 1101, 783)",0.5,left,AId,"c(""AId6b"", ""AId2/3"", ""AId1"", ""AId5"", ""AId6a"")",WT,mPFF,M,pSyn,0.00666303,0.002164061,0.004498969,1.196155789
IM 133,"c(355, 163, 120, 314, 344)",0.5,left,AIp,"c(""AIp6b"", ""AIp2/3"", ""AIp1"", ""AIp6a"", ""AIp5"")",WT,mPFF,F,pSyn,0.018238887,0,0.018238887,0
IM 134,"c(163, 120, 355, 314, 344)",0.5,left,AIp,"c(""AIp2/3"", ""AIp1"", ""AIp6b"", ""AIp6a"", ""AIp5"")",WT,mPFF,F,pSyn,0.004641487,0,0.004641487,0
IM 135,"c(344, 120, 163, 355, 314)",0.5,left,AIp,"c(""AIp5"", ""AIp1"", ""AIp2/3"", ""AIp6b"", ""AIp6a"")",WT,mPFF,F,pSyn,0.002517205,0,0.002517205,0
