,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 331,"c(935, 211, 1015, 919, 927)",0.2,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,67076.6866,4.826571602
2,IM 334,"c(935, 211, 1015, 919, 927)",0.2,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,82329.67168,4.915556384
3,IM 338,"c(935, 211, 1015, 919, 927)",0.2,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,64791.66319,4.811519128
4,IM 341,"c(935, 211, 1015, 919, 927)",0.2,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,70915.17234,4.850739163
5,IM 331,"c(588, 296, 772, 810, 819)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,77232.44847,4.887799803
6,IM 334,"c(588, 296, 772, 810, 819)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,82518.58723,4.916551784
7,IM 338,"c(588, 296, 772, 810, 819)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,71466.85271,4.854104657
8,IM 341,"c(588, 296, 772, 810, 819)",0.2,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,79418.20019,4.899920041
9,IM 331,56,0.2,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,1099513.439,6.041200542
10,IM 334,56,0.2,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,965432.7609,5.984722032
11,IM 338,56,0.2,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,1064515.027,6.027151796
12,IM 341,56,0.2,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1082336.425,6.034362274
13,IM 334,88,0.2,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,54260.75159,4.734485805
14,IM 338,88,0.2,left,AHN,AHN,WT,mPFF,M,pSyn,88,None,66517.58436,4.822936469
15,IM 341,88,0.2,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,61732.26069,4.790512182
