,mouse,Region ID,mpi,side,parent,daughter,genotype,treatment,sex,marker,forRemove,batch,Region Area,Logged Region Area
1,IM 50,"c(935, 211, 1015, 919, 927)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,57530.76644,4.75990016
2,IM 51,"c(935, 211, 1015, 919, 927)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,F,pSyn,"c(935, 211, 1015, 919, 927)",None,61272.07265,4.787262572
3,IM 53,"c(935, 211, 1015, 919, 927)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,53342.04127,4.727069631
4,IM 54,"c(935, 211, 1015, 919, 927)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,65653.8753,4.817260366
5,IM 55,"c(935, 211, 1015, 919, 927)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"", ""ACAd6a"", ""ACAd6b"")",WT,mPFF,M,pSyn,"c(935, 211, 1015, 919, 927)",None,46489.33407,4.667353325
6,IM 56,"c(935, 211, 1015)",9,left,ACAd,"c(""ACAd1"", ""ACAd2/3"", ""ACAd5"")",WT,mPFF,M,pSyn,"c(935, 211, 1015)",None,49371.47432,4.693476096
7,IM 50,"c(588, 296, 772, 810, 819)",9,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,61456.7505,4.788569593
8,IM 51,"c(588, 296, 772, 810, 819)",9,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,F,pSyn,"c(588, 296, 772, 810, 819)",None,88325.73093,4.94608724
9,IM 53,"c(588, 296, 772, 810, 819)",9,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,71310.29231,4.853152217
10,IM 54,"c(588, 296, 772, 810, 819)",9,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,71824.97437,4.85627548
11,IM 55,"c(588, 296, 772, 810, 819)",9,left,ACAv,"c(""ACAv1"", ""ACAv2/3"", ""ACAv5"", ""ACAv6a"", ""ACAv6b"")",WT,mPFF,M,pSyn,"c(588, 296, 772, 810, 819)",None,57384.46225,4.758794316
12,IM 50,56,9,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1002258.431,6.000979718
13,IM 51,56,9,left,ACB,ACB,WT,mPFF,F,pSyn,56,None,1146921.365,6.059533643
14,IM 53,56,9,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,616158.6866,5.789692576
15,IM 54,56,9,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,536119.3081,5.729261448
16,IM 55,56,9,left,ACB,ACB,WT,mPFF,M,pSyn,56,None,683113.9011,5.834493123
17,IM 54,72,9,left,ADP,ADP,WT,mPFF,M,pSyn,72,None,20148.9202,4.304251777
18,IM 50,88,9,left,AHN,AHN,WT,mPFF,F,pSyn,88,None,89036.21155,4.949566673
19,IM 56,88,9,left,AHN,AHN,WT,mPFF,M,pSyn,88,None,82899.69997,4.918552959
20,IM 50,"c(996, 328, 1101, 783, 831)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,46507.81119,4.667525901
21,IM 51,"c(996, 328, 1101, 783, 831)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,F,pSyn,"c(996, 328, 1101, 783, 831)",None,89784.21324,4.953199981
22,IM 53,"c(996, 328, 1101, 783, 831)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,89133.68095,4.950041842
23,IM 54,"c(996, 328, 1101, 783, 831)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,98501.91143,4.993444658
24,IM 55,"c(996, 328, 1101, 783, 831)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"", ""AId6b"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783, 831)",None,96683.17668,4.985350911
25,IM 56,"c(996, 328, 1101, 783)",9,left,AId,"c(""AId1"", ""AId2/3"", ""AId5"", ""AId6a"")",WT,mPFF,M,pSyn,"c(996, 328, 1101, 783)",None,117874.3949,5.071419476
26,IM 50,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,47241.7485,4.674325963
27,IM 51,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,68972.42072,4.838675469
28,IM 52,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,F,pSyn,"c(120, 163, 344, 314, 355)",None,64380.76843,4.808756156
29,IM 53,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,50894.74326,4.706672928
30,IM 54,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,53790.41076,4.730704861
31,IM 55,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,49402.08685,4.693745295
32,IM 56,"c(120, 163, 344, 314, 355)",9,left,AIp,"c(""AIp1"", ""AIp2/3"", ""AIp5"", ""AIp6a"", ""AIp6b"")",WT,mPFF,M,pSyn,"c(120, 163, 344, 314, 355)",None,65318.22366,4.815034366
33,IM 50,"c(704, 694, 800, 675)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,31709.87127,4.501194479
34,IM 51,"c(704, 694, 800, 675)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,F,pSyn,"c(704, 694, 800, 675)",None,45194.75291,4.655088016
35,IM 53,"c(704, 694, 800, 675)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,41720.6856,4.620351437
36,IM 54,"c(704, 694, 800, 675)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,47103.7692,4.67305566
37,IM 55,"c(704, 694, 800, 675)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"", ""AIv6a"")",WT,mPFF,M,pSyn,"c(704, 694, 800, 675)",None,46713.82215,4.669445403
38,IM 56,"c(704, 694, 800)",9,left,AIv,"c(""AIv1"", ""AIv2/3"", ""AIv5"")",WT,mPFF,M,pSyn,"c(704, 694, 800)",None,34422.88904,4.536847317
39,IM 50,466,9,left,alv,alv,WT,mPFF,F,pSyn,466,None,133252.9269,5.124676757
40,IM 51,466,9,left,alv,alv,WT,mPFF,F,pSyn,466,None,137959,5.139750038
41,IM 52,466,9,left,alv,alv,WT,mPFF,F,pSyn,466,None,118429.1493,5.07345861
42,IM 53,466,9,left,alv,alv,WT,mPFF,M,pSyn,466,None,127330.7981,5.104933461
43,IM 54,466,9,left,alv,alv,WT,mPFF,M,pSyn,466,None,137150.488,5.137197357
44,IM 55,466,9,left,alv,alv,WT,mPFF,M,pSyn,466,None,124774.2522,5.096124976
45,IM 56,466,9,left,alv,alv,WT,mPFF,M,pSyn,466,None,125460.2695,5.098506216
46,IM 50,884,9,left,amc,amc,WT,mPFF,F,pSyn,884,None,34073.6955,4.532419238
47,IM 51,884,9,left,amc,amc,WT,mPFF,F,pSyn,884,None,27877.89994,4.445260055
48,IM 52,884,9,left,amc,amc,WT,mPFF,F,pSyn,884,None,29881.56451,4.475403332
49,IM 53,884,9,left,amc,amc,WT,mPFF,M,pSyn,884,None,33197.07305,4.521099794
50,IM 54,884,9,left,amc,amc,WT,mPFF,M,pSyn,884,None,33662.3719,4.527144714
51,IM 55,884,9,left,amc,amc,WT,mPFF,M,pSyn,884,None,29933.42713,4.476156443
52,IM 56,884,9,left,amc,amc,WT,mPFF,M,pSyn,884,None,32004.00417,4.505204318
53,IM 51,159,9,left,AON,AON,WT,mPFF,F,pSyn,159,None,826839.3228,5.917421123
54,IM 53,159,9,left,AON,AON,WT,mPFF,M,pSyn,159,None,1381901.202,6.140476995
55,IM 54,159,9,left,AON,AON,WT,mPFF,M,pSyn,159,None,1545445.228,6.189053618
56,IM 55,159,9,left,AON,AON,WT,mPFF,M,pSyn,159,None,1675008.669,6.224017059
57,IM 56,159,9,left,AON,AON,WT,mPFF,M,pSyn,159,None,1687681.564,6.227290506
58,IM 50,215,9,left,APN,APN,WT,mPFF,F,pSyn,215,None,595873.5867,5.775154135
59,IM 51,215,9,left,APN,APN,WT,mPFF,F,pSyn,215,None,416057.8591,5.61915373
60,IM 52,215,9,left,APN,APN,WT,mPFF,F,pSyn,215,None,216898.254,5.336256056
61,IM 53,215,9,left,APN,APN,WT,mPFF,M,pSyn,215,None,536319.6904,5.729423742
62,IM 54,215,9,left,APN,APN,WT,mPFF,M,pSyn,215,None,600756.6067,5.778698556
63,IM 55,215,9,left,APN,APN,WT,mPFF,M,pSyn,215,None,407750.7859,5.610394807
64,IM 56,215,9,left,APN,APN,WT,mPFF,M,pSyn,215,None,510483.3544,5.707981585
65,IM 51,484682508,9,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,182816.4825,5.262015349
66,IM 52,484682508,9,left,APr,APr,WT,mPFF,F,pSyn,484682508,None,97116.03935,4.987290962
67,IM 53,484682508,9,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,230445.5883,5.362568398
68,IM 54,484682508,9,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,222379.5426,5.347094833
69,IM 56,484682508,9,left,APr,APr,WT,mPFF,M,pSyn,484682508,None,359859.6662,5.556133173
70,IM 50,484682524,9,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,83172.80758,4.919981362
71,IM 51,484682524,9,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,48115.05712,4.682281006
72,IM 52,484682524,9,left,ar,ar,WT,mPFF,F,pSyn,484682524,None,51029.65732,4.707822652
73,IM 53,484682524,9,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,58616.49459,4.768019843
74,IM 54,484682524,9,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,84943.02987,4.929127748
75,IM 55,484682524,9,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,79713.91448,4.901534136
76,IM 56,484682524,9,left,ar,ar,WT,mPFF,M,pSyn,484682524,None,44187.57801,4.645300198
77,IM 50,223,9,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,68913.10503,4.838301819
78,IM 51,223,9,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,85716.77261,4.933065811
79,IM 52,223,9,left,ARH,ARH,WT,mPFF,F,pSyn,223,None,100369.8348,5.001603209
80,IM 53,223,9,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,85728.10881,4.933123243
81,IM 54,223,9,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,89878.12116,4.953653985
82,IM 55,223,9,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,91179.80006,4.959898636
83,IM 56,223,9,left,ARH,ARH,WT,mPFF,M,pSyn,223,None,87256.00671,4.940795334
84,IM 51,231,9,left,AT,AT,WT,mPFF,F,pSyn,231,None,48596.78649,4.686607552
85,IM 52,231,9,left,AT,AT,WT,mPFF,F,pSyn,231,None,54296.69473,4.734773393
86,IM 53,231,9,left,AT,AT,WT,mPFF,M,pSyn,231,None,54730.82721,4.738232012
87,IM 54,231,9,left,AT,AT,WT,mPFF,M,pSyn,231,None,67700.22365,4.830590103
88,IM 56,231,9,left,AT,AT,WT,mPFF,M,pSyn,231,None,56797.63872,4.754330281
89,IM 50,"c(527, 600, 678, 252, 156, 243)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,71954.79029,4.857059712
90,IM 51,"c(527, 600, 678, 252, 156, 243)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,51041.07727,4.707919832
91,IM 52,"c(527, 600, 678, 252, 156, 243)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,F,pSyn,"c(527, 600, 678, 252, 156, 243)",None,54113.29641,4.733303991
92,IM 53,"c(527, 600, 678, 252, 156, 243)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,70378.2253,4.847438311
93,IM 54,"c(527, 600, 678, 252, 156, 243)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"", ""AUDd6b"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156, 243)",None,61217.4764,4.786875423
94,IM 55,"c(527, 600, 678, 252, 156)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"", ""AUDd5"", ""AUDd6a"")",WT,mPFF,M,pSyn,"c(527, 600, 678, 252, 156)",None,55270.18834,4.742490945
95,IM 56,"c(527, 600, 678)",9,left,AUDd,"c(""AUDd1"", ""AUDd2/3"", ""AUDd4"")",WT,mPFF,M,pSyn,"c(527, 600, 678)",None,22208.32968,4.346515896
96,IM 50,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,83757.39413,4.923023157
97,IM 51,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,87703.74638,4.943018145
98,IM 52,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,F,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,70911.31001,4.850715509
99,IM 53,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,56674.38999,4.753386854
100,IM 54,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,65038.89551,4.813173158
101,IM 55,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,66427.21136,4.822346021
102,IM 56,"c(735, 251, 816, 847, 954, 1005)",9,left,AUDp,"c(""AUDp1"", ""AUDp2/3"", ""AUDp4"", ""AUDp5"", ""AUDp6a"", ""AUDp6b"")",WT,mPFF,M,pSyn,"c(735, 251, 816, 847, 954, 1005)",None,73475.54334,4.866142806
103,IM 50,"c(696, 643, 759, 791, 249, 456)",9,left,AUDpo,"c(""AUDpo1"", ""AUDpo2/3"", ""AUDpo4"", ""AUDpo5"", ""AUDpo6a"", ""AUDpo6b"")",WT,mPFF,F,pSyn,"c(696, 643, 759, 791, 249, 456)",None,41561.81925,4.618694549
